inv_no,customer_key,inv_dt,subtotal,tax,total,curr,ship_type
INV-2DRL9FR,C14175,11/10/2024,16961.53,0.0,16961.53,USD,EXPRESS
INV-BB17R9D,C10456,10/29/2025,42126.13,4212.61,46338.74,USD,FREIGHT
INV-39HZTYA,C84879,11/03/2025,3934.33,0.0,3934.33,USD,GROUND
INV-ZOBKWX4,C02145,05/02/2024,2727.63,136.38,2864.01,USD,GROUND
INV-GJU9TKX,C08929,08/14/2025,1726.84,86.34,1813.18,USD,GROUND
INV-ARO6842,C35443,04/04/2024,2663.01,213.04,2876.05,USD,2DAY
INV-ZY2QJ5V,C47375,08/10/2025,3954.33,0.0,3954.33,USD,2DAY
INV-3XUNACR,C57382,01/28/2024,49799.95,0.0,49799.95,USD,FREIGHT
INV-LCG9SVW,C73720,09/09/2024,4370.58,0.0,4370.58,USD,2DAY
INV-XB93Y1L,C08929,07/03/2025,4673.12,467.31,5140.43,USD,GROUND
INV-H8C21B3,C14175,03/22/2024,8020.17,401.01,8421.18,USD,EXPRESS
INV-N7S47WS,C25055,04/04/2025,19402.34,1552.19,20954.53,USD,FREIGHT
INV-LBJWHGW,C08929,02/01/2024,7983.73,638.7,8622.43,USD,2DAY
INV-50MWX5Q,C82971,04/18/2024,17492.41,1749.24,19241.65,USD,FREIGHT
INV-7LKDXF8,C83350,07/14/2025,3849.92,307.99,4157.91,USD,GROUND
INV-SMOT8SL,C99808,05/03/2025,4417.85,353.43,4771.28,USD,GROUND
INV-DD28J1Y,C72495,09/22/2024,7313.15,731.32,8044.47,USD,2DAY
INV-28XUIJ9,C86178,03/26/2024,1407.41,140.74,1548.15,USD,GROUND
INV-B6AKS7C,C77726,10/17/2024,12885.08,0.0,12885.08,USD,EXPRESS
INV-H6FIPDX,C24911,11/10/2024,15537.49,776.87,16314.36,USD,EXPRESS
INV-NHJ0ILV,C29210,08/02/2024,1411.0,70.55,1481.55,USD,GROUND
INV-3HCWUQO,C15978,03/18/2025,18401.88,0.0,18401.88,USD,FREIGHT
INV-4RNNFH3,C17754,03/07/2024,5266.95,421.36,5688.31,USD,2DAY
INV-FK437TV,C51553,08/17/2025,3055.9,305.59,3361.49,USD,GROUND
INV-39JJUFR,C09581,11/20/2025,15884.05,1270.72,17154.77,USD,EXPRESS
INV-Q4YLTWK,C09581,10/21/2025,31357.19,3135.72,34492.91,USD,FREIGHT
INV-XGNLRKR,C94736,06/06/2025,1846.14,147.69,1993.83,USD,GROUND
INV-9N2AV6T,C94929,09/02/2025,13905.3,1390.53,15295.83,USD,EXPRESS
INV-MRDTB6L,C47375,05/22/2024,9690.63,0.0,9690.63,USD,EXPRESS
INV-7N4B9OT,C15978,07/06/2024,3310.69,165.53,3476.22,USD,GROUND
INV-JY7WM2I,C87356,08/23/2024,2715.14,135.76,2850.9,USD,GROUND
INV-JM0N1UU,C92842,10/09/2025,4808.68,480.87,5289.55,USD,2DAY
INV-5X6HKY7,C81739,08/28/2025,3539.5,353.95,3893.45,USD,GROUND
INV-QWNIJ1V,C92842,08/10/2024,3650.87,365.09,4015.96,USD,GROUND
INV-VG2QLMD,C17754,03/22/2024,3884.08,194.2,4078.28,USD,2DAY
INV-0ULIKZC,C86178,10/28/2024,16815.87,840.79,17656.66,USD,EXPRESS
INV-XD8F9V4,C08929,04/19/2024,3000.93,0.0,3000.93,USD,2DAY
INV-Y5I831Y,C56067,04/26/2025,6978.37,0.0,6978.37,USD,EXPRESS
INV-MBQXH2X,C81739,01/06/2025,4567.42,365.39,4932.81,USD,2DAY
INV-WAOZL0R,C80551,03/14/2024,3707.43,370.74,4078.17,USD,GROUND
INV-R4CAGT3,C81739,12/03/2024,4066.34,325.31,4391.65,USD,GROUND
INV-T5WTE2X,C47375,04/05/2025,7874.76,629.98,8504.74,USD,EXPRESS
INV-O901EOZ,C35443,12/10/2025,10859.07,868.73,11727.8,USD,EXPRESS
INV-WQD5990,C72495,03/27/2024,13997.87,699.89,14697.76,USD,FREIGHT
INV-625YZXY,C16180,09/03/2025,3373.18,168.66,3541.84,USD,GROUND
INV-TFWIKGG,C43677,08/14/2025,1453.23,0.0,1453.23,USD,GROUND
INV-OI177UF,C73720,07/19/2024,4654.98,372.4,5027.38,USD,2DAY
INV-IZTGRT1,C64279,06/01/2024,4063.6,0.0,4063.6,USD,2DAY
INV-BKD2IWG,C72495,02/22/2025,2818.19,281.82,3100.01,USD,GROUND
INV-BZ5KH26,C64279,01/14/2025,2608.78,130.44,2739.22,USD,GROUND
INV-VDE9ETR,C57382,08/03/2025,6306.87,0.0,6306.87,USD,EXPRESS
INV-WIFOTEJ,C09581,07/04/2024,2908.46,0.0,2908.46,USD,2DAY
INV-KA1CNLY,C94736,07/29/2024,3187.08,0.0,3187.08,USD,2DAY
INV-7ZACIW1,C47375,02/26/2025,2397.42,119.87,2517.29,USD,GROUND
INV-5HPSO13,C64279,09/02/2024,9151.13,457.56,9608.69,USD,EXPRESS
INV-77OYU8J,C80551,07/30/2025,22173.22,1773.86,23947.08,USD,FREIGHT
INV-FDF1VVF,C82971,04/04/2025,4528.29,362.26,4890.55,USD,GROUND
INV-QD35EJE,C25055,08/06/2024,1900.69,0.0,1900.69,USD,GROUND
INV-Z8NV4FM,C25055,01/11/2025,3352.78,335.28,3688.06,USD,GROUND
INV-VV131TL,C28306,08/26/2025,17849.14,0.0,17849.14,USD,EXPRESS
INV-3PUJQ0V,C64279,11/23/2025,2278.17,0.0,2278.17,USD,2DAY
INV-UNJUG5U,C94736,01/17/2024,45716.73,2285.84,48002.57,USD,FREIGHT
INV-KL5LAYA,C33266,02/19/2024,19065.43,1525.23,20590.66,USD,EXPRESS
INV-HF5UJ5J,C86178,09/01/2025,6236.2,311.81,6548.01,USD,EXPRESS
INV-77U6Y6X,C49018,06/04/2025,44474.39,3557.95,48032.34,USD,FREIGHT
INV-7POIT5K,C49018,06/26/2025,2516.03,201.28,2717.31,USD,GROUND
INV-OXTMUIX,C25055,07/30/2025,4953.15,396.25,5349.4,USD,GROUND
INV-P9TYNPS,C98672,12/05/2024,7069.56,706.96,7776.52,USD,EXPRESS
INV-PDRXXTK,C94736,03/21/2025,7883.87,630.71,8514.58,USD,EXPRESS
INV-1PGLSUE,C94929,06/04/2024,1399.8,0.0,1399.8,USD,GROUND
INV-Y578SYA,C03366,04/22/2025,34126.72,3412.67,37539.39,USD,FREIGHT
INV-D3NKUDO,C35443,12/17/2024,1693.36,135.47,1828.83,USD,GROUND
INV-4OORNG0,C63096,07/04/2024,1925.15,96.26,2021.41,USD,GROUND
INV-FPJNU9X,C29210,02/24/2025,4847.9,484.79,5332.69,USD,GROUND
INV-ZB2EG9K,C20405,01/26/2024,1198.09,0.0,1198.09,USD,GROUND
INV-KKQBZX5,C77577,01/06/2024,6630.88,0.0,6630.88,USD,2DAY
INV-V8KULBD,C87356,04/02/2025,19526.72,1562.14,21088.86,USD,EXPRESS
INV-LTBVT7S,C14175,03/26/2025,38377.77,0.0,38377.77,USD,FREIGHT
INV-9FY17GG,C87356,07/31/2024,1791.24,179.12,1970.36,USD,GROUND
INV-QETPY76,C56067,04/25/2025,21710.02,0.0,21710.02,USD,FREIGHT
INV-55CNE9A,C87356,11/10/2025,1972.87,197.29,2170.16,USD,GROUND
INV-SC71RUK,C10456,05/23/2024,9916.0,991.6,10907.6,USD,2DAY
INV-G7NF1EH,C86178,06/04/2024,12353.49,617.67,12971.16,USD,EXPRESS
INV-6VNK8DB,C83350,03/21/2024,1017.19,50.86,1068.05,USD,GROUND
INV-0K05CZR,C86178,07/24/2025,2944.01,147.2,3091.21,USD,GROUND
INV-Q15HX6J,C86029,12/02/2025,19146.47,957.32,20103.79,USD,EXPRESS
INV-EET6XT4,C20405,08/10/2024,4816.71,240.84,5057.55,USD,GROUND
INV-WEXUJ5F,C20405,11/09/2025,18784.33,939.22,19723.55,USD,EXPRESS
INV-6J0J915,C17754,01/17/2024,3632.85,363.29,3996.14,USD,GROUND
INV-K5T8SLB,C16655,09/23/2025,18846.08,942.3,19788.38,USD,EXPRESS
INV-TA2X1H2,C99808,10/30/2024,3904.64,312.37,4217.01,USD,GROUND
INV-BEZQGGQ,C43677,11/17/2024,2885.03,230.8,3115.83,USD,GROUND
INV-GMGKYZX,C24911,10/30/2024,29001.6,0.0,29001.6,USD,FREIGHT
INV-VX6V4Z5,C25055,10/25/2024,2935.81,234.86,3170.67,USD,GROUND
INV-J5ENKM5,C28306,06/04/2025,10327.6,826.21,11153.81,USD,FREIGHT
INV-7O75JP8,C98672,12/04/2024,18955.06,1895.51,20850.57,USD,EXPRESS
INV-NTT71UF,C15499,02/23/2024,3285.06,164.25,3449.31,USD,GROUND
INV-4LC9AL0,C57382,11/29/2024,1432.43,143.24,1575.67,USD,GROUND
INV-LOSFL2A,C03366,10/17/2025,5277.16,422.17,5699.33,USD,EXPRESS
INV-96JHS4F,C16655,04/13/2024,1830.61,146.45,1977.06,USD,GROUND
INV-082UFAF,C16655,10/18/2024,3529.1,0.0,3529.1,USD,GROUND
INV-X1OG5SN,C84879,04/21/2025,4445.92,444.59,4890.51,USD,GROUND
INV-NQP392Q,C73720,09/25/2025,2578.86,257.89,2836.75,USD,GROUND
INV-KPCS2F0,C98672,05/13/2025,14463.11,723.16,15186.27,USD,FREIGHT
INV-4MTWP9D,C78191,08/28/2024,2650.13,132.51,2782.64,USD,2DAY
INV-1WHPEPU,C20405,08/09/2024,4590.95,367.28,4958.23,USD,GROUND
INV-XOWB6RX,C86029,06/23/2024,4519.44,225.97,4745.41,USD,GROUND
INV-DHPA3D8,C99808,12/07/2024,5231.56,418.52,5650.08,USD,EXPRESS
INV-GEHHK73,C82971,08/18/2024,16354.55,1635.45,17990.0,USD,FREIGHT
INV-YICV6QG,C84879,06/03/2024,8746.84,699.75,9446.59,USD,EXPRESS
INV-EYRU4WJ,C10456,04/23/2024,2834.61,0.0,2834.61,USD,GROUND
INV-9VMXCKI,C24911,02/25/2025,6689.14,0.0,6689.14,USD,EXPRESS
INV-REMMBWA,C81739,12/04/2025,4131.78,0.0,4131.78,USD,GROUND
INV-4CFQ82R,C16655,02/06/2025,48123.1,3849.85,51972.95,USD,FREIGHT
INV-PRYAQ30,C22659,03/07/2024,6204.3,496.34,6700.64,USD,EXPRESS
INV-H80L2YG,C99808,12/08/2024,6458.51,645.85,7104.36,USD,2DAY
INV-AW760SY,C11386,06/14/2025,7546.68,754.67,8301.35,USD,2DAY
INV-BZUVTP7,C35443,09/07/2024,5663.62,566.36,6229.98,USD,2DAY
INV-9AMIP57,C16655,04/23/2025,26424.59,2113.97,28538.56,USD,FREIGHT
INV-UQ3UEWC,C83350,09/20/2025,4668.34,0.0,4668.34,USD,GROUND
INV-ZY3PO5K,C16180,12/18/2024,26994.17,2159.53,29153.7,USD,FREIGHT
INV-DLL8ETK,C49018,02/10/2025,14344.32,717.22,15061.54,USD,EXPRESS
INV-7VE1UPE,C92842,09/02/2024,6593.81,659.38,7253.19,USD,2DAY
INV-3C0XKBD,C99892,12/05/2025,3016.67,301.67,3318.34,USD,GROUND
INV-ORPKNKQ,C63250,01/28/2025,3164.21,0.0,3164.21,USD,GROUND
INV-HT5IIJD,C56067,05/29/2025,5550.59,0.0,5550.59,USD,EXPRESS
INV-BSZMPEC,C35443,06/17/2025,3858.29,0.0,3858.29,USD,GROUND
INV-UDK4QXC,C21531,04/29/2025,4197.13,335.77,4532.9,USD,GROUND
INV-40LRKOK,C80551,04/06/2024,2200.7,110.03,2310.73,USD,GROUND
INV-S2TZAR0,C64279,12/20/2024,9894.33,0.0,9894.33,USD,EXPRESS
INV-NZMJ8F0,C15499,03/11/2024,2859.07,0.0,2859.07,USD,GROUND
INV-Y9GQRPT,C17172,05/18/2024,3375.74,337.57,3713.31,USD,GROUND
INV-LK8L1GR,C16655,12/31/2024,4178.74,0.0,4178.74,USD,GROUND
INV-ZK1EVXI,C83350,06/28/2025,13889.13,0.0,13889.13,USD,EXPRESS
INV-VJAAABN,C98672,04/26/2024,3966.03,198.3,4164.33,USD,GROUND
INV-E6TJZNH,C99808,12/06/2025,13577.45,0.0,13577.45,USD,EXPRESS
INV-UPN5FDT,C72495,04/04/2024,7046.84,563.75,7610.59,USD,EXPRESS
INV-2CPHSTH,C83350,09/04/2025,3410.37,170.52,3580.89,USD,GROUND
INV-9DVO4S6,C92842,09/06/2024,16606.72,1328.54,17935.26,USD,EXPRESS
INV-5Y0VSMA,C63096,07/29/2024,1544.06,123.52,1667.58,USD,GROUND
INV-YL8393S,C82971,04/26/2025,3744.46,374.45,4118.91,USD,GROUND
INV-8CAWDJX,C83948,10/03/2025,2707.78,135.39,2843.17,USD,GROUND
INV-ZCRSPSC,C15978,06/22/2025,4820.66,241.03,5061.69,USD,GROUND
INV-X75KQCQ,C93089,07/06/2024,6607.52,0.0,6607.52,USD,2DAY
INV-GG5YQGG,C81739,09/27/2024,4700.79,376.06,5076.85,USD,GROUND
INV-DDSIZNG,C63096,06/23/2025,38638.43,3863.84,42502.27,USD,FREIGHT
INV-C6NHZ4J,C82971,06/05/2024,19651.24,982.56,20633.8,USD,EXPRESS
INV-TDYR0XF,C29210,06/06/2024,3812.74,305.02,4117.76,USD,GROUND
INV-T84UP36,C72495,02/15/2025,4226.53,0.0,4226.53,USD,GROUND
INV-MYK3VIG,C57382,09/01/2025,8902.94,445.15,9348.09,USD,2DAY
INV-TIBZC3D,C98399,08/18/2025,5032.69,503.27,5535.96,USD,2DAY
INV-BYMJGZ1,C70464,12/14/2024,16214.56,810.73,17025.29,USD,EXPRESS
INV-CIQ2XMO,C77726,09/17/2024,4770.16,477.02,5247.18,USD,2DAY
INV-ZHTO6QY,C86178,04/27/2025,2195.94,219.59,2415.53,USD,GROUND
INV-967G0VA,C57382,05/01/2024,2553.32,0.0,2553.32,USD,2DAY
INV-VZ1HVEY,C97125,10/31/2025,9449.99,0.0,9449.99,USD,2DAY
INV-A4SYPW9,C60889,10/01/2024,13998.97,699.95,14698.92,USD,FREIGHT
INV-JPSGZGV,C15978,09/07/2025,2450.31,0.0,2450.31,USD,GROUND
INV-BMB0GKW,C03366,07/25/2024,38450.65,0.0,38450.65,USD,FREIGHT
INV-NK00FMX,C16180,03/30/2025,4372.06,0.0,4372.06,USD,GROUND
INV-R4HXQQ1,C63096,05/28/2024,9703.87,776.31,10480.18,USD,EXPRESS
INV-R69Y0RP,C24911,10/05/2025,12901.02,1290.1,14191.12,USD,FREIGHT
INV-7HJ7SMH,C94736,01/04/2024,11571.74,0.0,11571.74,USD,FREIGHT
INV-G4PD60Q,C02145,04/17/2024,4720.38,472.04,5192.42,USD,GROUND
INV-YHONUQ8,C81739,04/27/2024,6675.71,534.06,7209.77,USD,2DAY
INV-Y276GZH,C83948,04/27/2025,2160.57,172.85,2333.42,USD,2DAY
INV-ZZS7NTU,C77726,04/24/2024,12015.86,0.0,12015.86,USD,FREIGHT
INV-ALMFAKB,C99892,10/11/2024,9759.88,780.79,10540.67,USD,EXPRESS
INV-NMZQK1Z,C99892,06/01/2024,19369.58,0.0,19369.58,USD,EXPRESS
INV-QAUGUVA,C51553,06/25/2024,3285.72,328.57,3614.29,USD,GROUND
INV-SNPVQU2,C77726,01/25/2024,4532.73,0.0,4532.73,USD,2DAY
INV-SLV232C,C21531,04/29/2025,3001.68,300.17,3301.85,USD,GROUND
INV-TTW0ZEV,C33266,01/26/2025,32144.54,0.0,32144.54,USD,FREIGHT
INV-TVVKLR3,C33266,02/13/2025,11822.85,945.83,12768.68,USD,EXPRESS
INV-288ZWBB,C09581,04/02/2024,2523.74,0.0,2523.74,USD,GROUND
INV-WM90C6K,C98672,07/31/2025,11149.04,1114.9,12263.94,USD,EXPRESS
INV-XZXUT51,C08929,05/14/2024,4689.97,0.0,4689.97,USD,GROUND
INV-U1TI0E5,C15499,12/06/2025,17701.77,885.09,18586.86,USD,EXPRESS
INV-SCSQFD6,C25055,03/27/2024,17877.37,1787.74,19665.11,USD,FREIGHT
INV-ZEVUO8S,C60889,12/17/2025,3240.3,0.0,3240.3,USD,GROUND
INV-RMJ3NUO,C34523,06/17/2025,2861.77,286.18,3147.95,USD,GROUND
INV-ZV7H6QH,C29210,02/23/2024,19306.25,0.0,19306.25,USD,EXPRESS
INV-956VWU2,C15978,11/12/2024,10087.88,1008.79,11096.67,USD,EXPRESS
INV-GID59SV,C77726,07/08/2025,1282.17,64.11,1346.28,USD,GROUND
INV-BFF8L53,C25055,09/06/2024,2511.31,251.13,2762.44,USD,GROUND
INV-8Q6MP4G,C72495,04/13/2025,2365.53,118.28,2483.81,USD,GROUND
INV-G9YC9B8,C70464,08/21/2025,11156.8,892.54,12049.34,USD,EXPRESS
INV-ZHFGEYL,C56067,09/01/2025,9616.4,0.0,9616.4,USD,2DAY
INV-K6Z9224,C98672,06/14/2024,4957.59,0.0,4957.59,USD,2DAY
INV-1JQ7HAZ,C98672,05/05/2024,2733.33,136.67,2870.0,USD,GROUND
INV-K5TWW6Y,C57382,02/05/2025,3645.13,291.61,3936.74,USD,GROUND
INV-7STWEBZ,C34523,01/17/2024,5768.75,0.0,5768.75,USD,EXPRESS
INV-4AUOXUO,C77577,09/11/2025,7484.33,374.22,7858.55,USD,2DAY
INV-UC14O2V,C17754,05/28/2024,3195.47,319.55,3515.02,USD,GROUND
INV-JIZJ65O,C22659,05/07/2025,3489.89,0.0,3489.89,USD,GROUND
INV-T004WQ1,C83948,08/28/2025,35451.39,1772.57,37223.96,USD,FREIGHT
INV-Y4VXBH9,C21531,05/26/2024,4367.55,436.76,4804.31,USD,GROUND
INV-X7OSUOC,C92842,03/30/2025,18160.44,908.02,19068.46,USD,FREIGHT
INV-0UWBFJZ,C99892,12/17/2024,4629.82,0.0,4629.82,USD,GROUND
INV-50GQRG4,C92842,12/14/2024,4251.8,0.0,4251.8,USD,GROUND
INV-LABT7GO,C51553,10/20/2024,4962.57,0.0,4962.57,USD,GROUND
INV-WRBY2CT,C77726,03/18/2025,2566.58,128.33,2694.91,USD,2DAY
INV-604IZPQ,C33266,02/09/2025,35235.92,1761.8,36997.72,USD,FREIGHT
INV-UGNNFL8,C11386,11/13/2024,1848.13,0.0,1848.13,USD,GROUND
INV-5075KLN,C78191,05/19/2024,5729.69,0.0,5729.69,USD,EXPRESS
INV-F7KZJ5L,C51553,04/14/2025,36578.82,0.0,36578.82,USD,FREIGHT
INV-8TE79FW,C20405,08/23/2024,22038.72,1101.94,23140.66,USD,FREIGHT
INV-OWELPRW,C43677,05/23/2024,4922.09,246.1,5168.19,USD,2DAY
INV-OA0HNOH,C09581,12/20/2025,9891.87,791.35,10683.22,USD,2DAY
INV-V0QBPHG,C63096,06/19/2025,8495.29,424.76,8920.05,USD,2DAY
INV-E78F4ID,C98399,08/12/2025,1863.86,93.19,1957.05,USD,GROUND
INV-LLNVGLG,C43677,02/05/2024,3961.87,396.19,4358.06,USD,2DAY
INV-EBIM1N3,C99892,04/18/2025,1908.8,95.44,2004.24,USD,GROUND
INV-Q3GG5V2,C43677,09/04/2024,31206.21,0.0,31206.21,USD,FREIGHT
INV-M5GFN88,C63250,07/13/2024,4210.76,0.0,4210.76,USD,2DAY
INV-BEUSNG0,C60889,09/10/2024,18284.89,0.0,18284.89,USD,FREIGHT
INV-SL789LL,C64279,06/21/2024,2910.13,0.0,2910.13,USD,GROUND
INV-3M9M6SG,C49018,05/30/2024,1362.2,0.0,1362.2,USD,GROUND
INV-BUOSTK4,C16655,07/14/2024,3959.78,395.98,4355.76,USD,GROUND
INV-QVJ04BJ,C97125,12/08/2024,4613.52,461.35,5074.87,USD,2DAY
INV-JTX4APP,C43677,01/17/2025,4118.72,0.0,4118.72,USD,GROUND
INV-8GJOJK4,C86178,05/30/2024,20506.39,0.0,20506.39,USD,FREIGHT
INV-HY2WMNO,C49018,11/18/2025,18645.21,1491.62,20136.83,USD,EXPRESS
INV-KEKWXXR,C97785,06/19/2024,3268.17,261.45,3529.62,USD,GROUND
INV-7DVHRWK,C83350,07/17/2024,11824.87,1182.49,13007.36,USD,EXPRESS
INV-OWEL68D,C16180,08/30/2025,3549.61,177.48,3727.09,USD,GROUND
INV-UJQL16E,C08929,09/27/2025,2269.02,0.0,2269.02,USD,GROUND
INV-NIOA31A,C60889,09/05/2024,3254.19,260.34,3514.53,USD,GROUND
INV-BDTBL7L,C51553,09/28/2025,2629.32,131.47,2760.79,USD,GROUND
INV-ELTT91T,C02145,04/13/2024,13227.38,661.37,13888.75,USD,EXPRESS
INV-PBWHAFF,C57382,05/15/2024,3060.87,0.0,3060.87,USD,GROUND
INV-0C0I4M6,C24911,11/23/2025,3426.41,274.11,3700.52,USD,GROUND
INV-RNT7A1F,C20405,03/28/2024,2885.79,288.58,3174.37,USD,GROUND
INV-BEB3MVN,C80551,07/25/2025,4670.74,233.54,4904.28,USD,GROUND
INV-NUXGX1T,C10456,04/26/2025,13609.28,1360.93,14970.21,USD,EXPRESS
INV-BWDHZ7S,C20405,10/15/2025,3513.75,351.38,3865.13,USD,GROUND
INV-SA4S3C4,C02145,03/08/2025,6998.96,0.0,6998.96,USD,2DAY
INV-WWCI9B9,C57382,03/27/2024,9067.24,453.36,9520.6,USD,EXPRESS
INV-O0DWS5N,C98672,06/01/2025,4664.16,0.0,4664.16,USD,GROUND
INV-7X6RQMX,C98672,01/11/2025,2987.83,149.39,3137.22,USD,GROUND
INV-ZV3O2GM,C60889,04/03/2024,6121.89,612.19,6734.08,USD,EXPRESS
INV-Q8SUZ20,C09581,06/04/2025,2477.55,198.2,2675.75,USD,GROUND
INV-Y6JJWSC,C16180,09/07/2024,12933.18,646.66,13579.84,USD,EXPRESS
INV-KP1EGUM,C21531,06/19/2025,14176.07,1417.61,15593.68,USD,EXPRESS
INV-IROM65P,C49018,09/30/2025,6725.1,0.0,6725.1,USD,2DAY
INV-KOCJTTX,C77577,09/03/2024,3240.81,324.08,3564.89,USD,GROUND
INV-87ZS20A,C80551,06/22/2025,11546.58,0.0,11546.58,USD,EXPRESS
INV-O0N4N2H,C35443,06/05/2025,19794.06,989.7,20783.76,USD,EXPRESS
INV-J4YGV5A,C98672,03/15/2025,1931.0,96.55,2027.55,USD,GROUND
INV-CH9VTSD,C20405,01/10/2024,7152.98,357.65,7510.63,USD,EXPRESS
INV-IVMHTAF,C21531,11/29/2025,19304.76,1544.38,20849.14,USD,EXPRESS
INV-LEAJXMF,C97785,06/28/2024,3676.33,294.11,3970.44,USD,GROUND
INV-W9S7I1E,C97125,01/21/2025,8040.45,804.05,8844.5,USD,EXPRESS
INV-B8XHL1M,C20405,01/02/2025,2181.38,109.07,2290.45,USD,GROUND
INV-QKERJ0T,C14175,06/22/2025,1373.8,137.38,1511.18,USD,GROUND
INV-OZXXO1H,C63250,11/20/2024,4201.36,0.0,4201.36,USD,2DAY
INV-B4LE4XO,C92842,08/11/2025,2883.69,230.7,3114.39,USD,GROUND
INV-D6DSPYW,C16655,12/12/2024,10999.44,1099.94,12099.38,USD,EXPRESS
INV-HKHD48P,C97785,02/18/2025,1652.36,0.0,1652.36,USD,GROUND
INV-11SIV3D,C99892,02/25/2024,34286.22,0.0,34286.22,USD,FREIGHT
INV-F5GEFEW,C70464,11/10/2024,5425.53,271.28,5696.81,USD,2DAY
INV-89ZVI16,C47375,11/13/2024,6402.55,320.13,6722.68,USD,2DAY
INV-BACY8LQ,C94736,01/17/2024,9011.91,901.19,9913.1,USD,2DAY
INV-FAQFEMZ,C93089,07/29/2025,7271.45,581.72,7853.17,USD,EXPRESS
INV-1GHFZDB,C17172,10/12/2024,13520.42,0.0,13520.42,USD,EXPRESS
INV-8ZRKGV8,C98399,11/16/2025,7043.38,352.17,7395.55,USD,EXPRESS
INV-TKOW8K4,C82971,02/27/2024,18935.48,0.0,18935.48,USD,EXPRESS
INV-U5APX57,C60889,12/06/2025,16691.16,1669.12,18360.28,USD,EXPRESS
INV-XD9ZCKX,C72495,02/07/2025,8472.5,0.0,8472.5,USD,2DAY
INV-WS006N9,C09581,05/04/2024,4340.0,347.2,4687.2,USD,GROUND
INV-F2IE2K1,C15978,11/02/2025,3912.07,391.21,4303.28,USD,GROUND
INV-QA9SU9Z,C81739,10/19/2025,16634.48,831.72,17466.2,USD,EXPRESS
INV-GXPU5W1,C09581,10/05/2024,5776.6,288.83,6065.43,USD,2DAY
INV-QEI0JL1,C83350,04/05/2024,5156.8,515.68,5672.48,USD,EXPRESS
INV-83VBMS9,C16180,02/06/2025,6150.69,0.0,6150.69,USD,EXPRESS
INV-QOX7AJ8,C94929,12/22/2025,2246.25,112.31,2358.56,USD,GROUND
INV-8NM6TVN,C56067,02/03/2024,4068.58,325.49,4394.07,USD,GROUND
INV-ZRWDEEH,C33266,02/20/2024,3643.11,0.0,3643.11,USD,GROUND
INV-6L3MYNM,C97125,10/22/2024,1724.68,137.97,1862.65,USD,GROUND
INV-8QW8SM2,C94929,07/01/2024,7577.79,757.78,8335.57,USD,2DAY
INV-WARNEM5,C86029,10/07/2025,31368.4,2509.47,33877.87,USD,FREIGHT
INV-H8I0ZUM,C43677,04/18/2025,6890.02,344.5,7234.52,USD,2DAY
INV-H72DLZV,C94736,11/27/2025,45996.93,0.0,45996.93,USD,FREIGHT
INV-8TEZ8D2,C64279,03/02/2024,4309.58,430.96,4740.54,USD,GROUND
INV-3ZTELFG,C97785,08/18/2025,6342.91,317.15,6660.06,USD,2DAY
INV-FPCD0Z1,C22659,03/02/2025,9230.34,0.0,9230.34,USD,EXPRESS
INV-G9YX3FO,C57382,07/07/2024,4298.3,0.0,4298.3,USD,GROUND
INV-G1D71HP,C51553,09/12/2024,4590.77,229.54,4820.31,USD,GROUND
INV-7IL5TYD,C82971,02/04/2024,18742.63,1874.26,20616.89,USD,EXPRESS
INV-YZZFEQP,C98672,11/08/2024,3467.4,0.0,3467.4,USD,2DAY
INV-QW2M6VE,C82971,10/06/2024,2246.04,179.68,2425.72,USD,2DAY
INV-8HBCMBG,C86178,03/07/2025,3309.15,0.0,3309.15,USD,2DAY
INV-X6N7N1G,C47375,03/01/2025,3560.51,356.05,3916.56,USD,GROUND
INV-S0HPKNN,C98399,11/29/2024,10070.12,805.61,10875.73,USD,EXPRESS
INV-JH00HNS,C94736,09/27/2024,7139.03,713.9,7852.93,USD,2DAY
INV-IKIQRKV,C98399,06/15/2025,10111.19,808.9,10920.09,USD,EXPRESS
INV-DO98XZ9,C29210,04/18/2024,8108.94,810.89,8919.83,USD,EXPRESS
INV-55NW7HC,C11386,06/09/2025,12582.72,629.14,13211.86,USD,FREIGHT
INV-A9EJ13K,C20405,12/01/2025,3789.91,303.19,4093.1,USD,2DAY
INV-ENQ5VVJ,C14637,12/29/2024,4547.92,227.4,4775.32,USD,2DAY
INV-A848TL9,C21531,05/07/2025,7147.02,714.7,7861.72,USD,EXPRESS
INV-CQ9OZCU,C14637,07/06/2024,7223.67,361.18,7584.85,USD,EXPRESS
INV-LUF1BPQ,C98399,01/08/2024,2743.21,274.32,3017.53,USD,GROUND
INV-A1BA27L,C83948,03/19/2024,18202.27,910.11,19112.38,USD,EXPRESS
INV-9M7R0LQ,C02145,02/14/2025,4715.52,0.0,4715.52,USD,2DAY
INV-1QFWTMS,C98672,11/18/2025,3470.13,0.0,3470.13,USD,GROUND
INV-84CB2V9,C60889,09/19/2024,5485.09,548.51,6033.6,USD,EXPRESS
INV-2XCCNZJ,C02145,01/31/2024,4124.06,329.92,4453.98,USD,GROUND
INV-VJMEO7X,C51553,07/10/2025,2141.66,171.33,2312.99,USD,GROUND
INV-LP81VNX,C09581,08/24/2024,4279.97,342.4,4622.37,USD,GROUND
INV-3AZQUQM,C14637,04/13/2025,1154.32,0.0,1154.32,USD,GROUND
INV-TSVT7KZ,C83948,03/02/2024,1328.56,106.28,1434.84,USD,GROUND
