invoice_uid,client_ref,issued_on,amount_usd,shipment_category
INV-H9TY2PT,NIMBUS GROUP,2024-01-09,3662.08,GROUND
INV-KQXGQLI,BLUE PARTNERS,"Oct 08, 2024",10953.33,EXPRESS
INV-FBWCOA1,TYRELL PARTNERS,2025-06-22,4016.73,GROUND
INV-VYO5L3P,NIMBUS HOLDINGS,03/19/2025,3817.1,GROUND
INV-Y903VOF,APEX GROUP,2025/12/02,2114.95,GROUND
INV-1FDC3Z3,ZENITH HOLDINGS,2025/06/21,16721.07,EXPRESS
INV-8TIER6V,VECTOR LLC,2025-04-10,8632.11,EXPRESS
INV-2WV8UH9,VECTOR FREIGHT,2025-11-22,5184.59,GROUND
INV-OWPUUP5,MASSIVE CO,2024-08-29,5659.42,2DAY
INV-LGDG8JC,VECTOR FREIGHT,07/02/2025,2071.98,GROUND
INV-4FMPVPC,WAYNE GROUP,2025/09/23,7289.84,EXPRESS
INV-SS45DR2,VERTEX PARTNERS,"Oct 15, 2025",7395.6,2DAY
INV-FSIQIFI,TYRELL PARTNERS,2024/03/02,3508.56,GROUND
INV-DLDDJMV,VECTOR LOGISTICS,10/21/2024,4014.19,GROUND
INV-HTIFUZK,MASSIVE GROUP,2024/05/02,15332.83,EXPRESS
INV-LB1SBCP,GREEN CO,"Sep 09, 2024",18161.41,EXPRESS
INV-JE9PA9V,WAYNE GROUP,11/27/2025,13412.93,EXPRESS
INV-0PX4XXM,ZENITH HOLDINGS,04/22/2025,3659.03,GROUND
INV-D4BP3J9,STARK ENTERPRISES,"Mar 03, 2024",3139.2,GROUND
INV-QSVD0QE,ZENITH HOLDINGS,12/04/2025,3528.88,GROUND
INV-15M1LWU, INITECH FREIGHT ,2025/05/29,11573.95,EXPRESS
INV-UKK80F6,BLUE INDUSTRIES,"Sep 12, 2025",14073.11,FREIGHT
INV-8NNQQHS,WAYNE GROUP,11/19/2024,2418.73,GROUND
INV-Q1ANNYY,TYRELL INDUSTRIES,22-May-2024,3404.07,GROUND
INV-ROFIG7Z,VECTOR FREIGHT,2024/09/17,12352.3,EXPRESS
INV-W7GWELV,NIMBUS GROUP,"Oct 14, 2024",5515.65,EXPRESS
INV-FJ5S5VU,MASSIVE PARTNERS,2025-06-02,12481.13,EXPRESS
INV-XL2PQB1, UMBRELLA PARTNERS ,07/12/2024,19082.77,EXPRESS
INV-HPOF364,HOOLI LOGISTICS,2025-02-27,5365.43,2DAY
INV-G4Y61CX, RED LOGISTICS ,2024-02-07,3948.36,GROUND
INV-99DA4BO,TYRELL FREIGHT,2025/12/12,15898.74,EXPRESS
INV-SI6UX31,APEX GROUP,"Dec 31, 2024",4711.74,GROUND
INV-O5NZ3M6,HOOLI CO,"Nov 17, 2024",8624.58,EXPRESS
INV-TJ9O4WG,MASSIVE CO,"Dec 04, 2024",10523.01,2DAY
INV-1PNW88Q, UMBRELLA PARTNERS ,26-Feb-2024,1333.36,GROUND
INV-C3AS1MR,NIMBUS INDUSTRIES,11/11/2024,31953.37,FREIGHT
INV-6GLN1AB,BLUE PARTNERS,30-Aug-2025,17218.7,EXPRESS
INV-207VDYB, UMBRELLA PARTNERS ,11/08/2024,2895.75,2DAY
INV-55GRSNK, INITECH FREIGHT ,02/19/2024,1402.14,GROUND
INV-SVWIQ8S,MASSIVE SUPPLY,12/27/2024,10577.66,EXPRESS
INV-SD1ZFAO,NIMBUS GROUP,"Nov 24, 2025",1499.7,GROUND
INV-C04EOUT,NIMBUS INDUSTRIES,2025-09-29,3144.41,GROUND
INV-XW0DWOW,VECTOR LOGISTICS,30-Nov-2025,24210.48,FREIGHT
INV-X6BIP4H,MASSIVE CO,29-Jun-2024,6006.92,2DAY
INV-QQKF02T,BLUE CO,2025/06/11,21143.13,EXPRESS
INV-W3PZBIQ,ZENITH HOLDINGS,2024-07-26,23400.16,FREIGHT
INV-DH31UX6,VERTEX PARTNERS,11-Apr-2025,8953.85,2DAY
INV-1V6YOBK,MASSIVE SUPPLY,06-May-2024,10545.92,EXPRESS
INV-WSZVCKM,TYRELL INDUSTRIES,"Nov 14, 2025",4769.44,GROUND
INV-51PHEEU,TYRELL INDUSTRIES,2025-09-18,26447.52,FREIGHT
INV-LKY2L5X,BLUE INDUSTRIES,2025/12/23,13002.58,EXPRESS
INV-KYH5WB8, RED LOGISTICS ,20-Jan-2025,3136.84,GROUND
INV-KPWAVLE,INITECH SUPPLY,19-Dec-2025,2756.33,GROUND
INV-DL3PKWO,STARK GROUP,2025-04-30,9329.99,2DAY
INV-OXZZ81E,STARK PARTNERS,10/12/2025,39734.77,FREIGHT
INV-4X5SS59,UMBRELLA ENTERPRISES,29-Apr-2024,4984.65,GROUND
INV-W1KSUKN,ZENITH HOLDINGS,2025/10/12,3068.59,GROUND
INV-LF4SBNF,VECTOR LLC,2024/11/03,1425.26,GROUND
INV-BG48GC4,QUANTUM ENTERPRISES,08/11/2024,3139.23,GROUND
INV-00EVKGS,WONKA LLC,08/02/2025,3320.52,GROUND
INV-NDGOUDE,WAYNE HOLDINGS,04/18/2024,11229.58,EXPRESS
INV-PWWJL45,ACME INDUSTRIES,06/16/2024,5212.09,GROUND
INV-6IBOPQU,HOOLI ENTERPRISES,2024-02-08,3588.51,GROUND
INV-569Y85D,HOOLI ENTERPRISES,21-Oct-2024,14396.24,EXPRESS
INV-EBA4NMB,TYRELL FREIGHT,01/06/2024,9733.03,2DAY
INV-8P3WEUZ,HOOLI SUPPLY,2025-08-29,4196.97,GROUND
INV-5L41LGP,BLUE CO,04/12/2024,20460.57,EXPRESS
INV-LXKVSEX,TYRELL INDUSTRIES,09-Mar-2025,1725.26,GROUND
INV-60YQ200,VECTOR LOGISTICS,08-Jan-2024,9971.52,2DAY
INV-5GGMHR4, MASSIVE LLC ,2025-03-18,3777.56,GROUND
INV-HRY2JRU,QUANTUM ENTERPRISES,2024/06/05,2992.97,GROUND
INV-PGLHMOD,VECTOR CO,21-Jan-2025,3485.6,GROUND
INV-ARIJNM3,HOOLI LOGISTICS,"Aug 06, 2025",1600.32,GROUND
INV-3VUQRHN,WONKA SUPPLY,2025/08/11,3476.98,GROUND
INV-S7HQCE1,GREEN CO,"Aug 01, 2024",4626.66,2DAY
INV-431LMBZ,TYRELL FREIGHT,03/10/2025,3962.7,GROUND
INV-70K0C17,UMBRELLA INDUSTRIES,2024-01-08,17005.93,EXPRESS
INV-STEKALZ,MASSIVE PARTNERS,2025-02-16,2060.3,GROUND
INV-F03XTKU,GREEN LOGISTICS,07/26/2024,1538.07,GROUND
INV-B777F4Q,HOOLI SUPPLY,28-Apr-2024,21250.06,EXPRESS
INV-51Q64RO,BLUE INDUSTRIES,"Jan 31, 2025",30613.8,FREIGHT
INV-DI8UGH3,BLUE CO,2024/01/13,2103.21,GROUND
INV-I9O5CRL,GREEN LOGISTICS,2024/03/02,5007.56,GROUND
INV-AIEJ7KU,ACME INDUSTRIES,07/19/2024,12461.78,EXPRESS
INV-1FJPG5U,APEX FREIGHT,08/07/2024,33716.99,FREIGHT
INV-QRQMSIG,VECTOR FREIGHT,"Sep 05, 2024",5206.77,GROUND
INV-3PE6BLG,INITECH SUPPLY,"Aug 07, 2025",2411.03,2DAY
INV-NCF0B1L,WAYNE GROUP,"Mar 16, 2024",2809.21,2DAY
INV-Y9FQNSP,VERTEX PARTNERS,2024/02/20,5176.32,GROUND
INV-YZXVXGQ,APEX GROUP,2025/12/09,5352.46,2DAY
INV-VSKHMW9,HOOLI SUPPLY,"Jan 11, 2025",19202.5,EXPRESS
INV-ZU0W7BY,QUANTUM ENTERPRISES,10/30/2025,1191.25,GROUND
INV-VWOGDKV,ZENITH SUPPLY,31-Aug-2024,4076.4,GROUND
INV-QJ72UTD,TYRELL FREIGHT,2024/01/13,3044.27,GROUND
INV-9D4MPLU,TYRELL FREIGHT,07-Jul-2024,18013.98,EXPRESS
INV-7NFTL0H,GREEN FREIGHT,2025/03/25,1264.07,GROUND
INV-511ZMGI,WAYNE HOLDINGS,2025-10-24,5967.45,2DAY
INV-R5FPMCP,TYRELL LLC,"Nov 11, 2025",6145.89,EXPRESS
INV-TOEKGJS,VECTOR CO,06/20/2024,22918.27,FREIGHT
INV-6H52202, BLUE SUPPLY ,"Sep 01, 2024",12947.56,EXPRESS
INV-B6FJZ1M, UMBRELLA PARTNERS ,01-Nov-2024,1779.96,GROUND
INV-9CM5RQ7,APEX FREIGHT,"Mar 22, 2024",16529.06,EXPRESS
INV-FTY4K37,VERTEX PARTNERS,2024/12/02,3794.52,GROUND
INV-8DAO7UI,TYRELL FREIGHT,"Oct 27, 2024",1424.07,GROUND
INV-RDGSFQZ,ACME INDUSTRIES,20-Feb-2025,11194.4,EXPRESS
INV-IFD05LY,APEX GROUP,"Nov 09, 2025",4262.85,GROUND
INV-JFPAOSD,VECTOR LOGISTICS,2025-06-03,4393.89,GROUND
INV-QM4Z9JF,STARK PARTNERS,11/21/2025,2281.74,GROUND
INV-2USG4AN,VECTOR LLC,"May 05, 2025",4212.42,2DAY
INV-UF8PPEY,MASSIVE CO,29-Sep-2024,1283.3,GROUND
INV-FRRUNB3,TYRELL LLC,08/31/2024,10485.02,2DAY
INV-WKLAIDO,ZENITH HOLDINGS,15-Jun-2025,17740.61,EXPRESS
INV-4ZTGAHO,UMBRELLA INDUSTRIES,05/18/2024,14209.49,EXPRESS
INV-2BFF998,MASSIVE PARTNERS,07/22/2024,2196.18,GROUND
INV-Y90TDWE,MASSIVE GROUP,02/11/2025,2196.41,GROUND
INV-IF550ZO,INITECH SUPPLY,08-Nov-2025,1601.65,GROUND
INV-7C2AV30, BLUE SUPPLY ,23-Jul-2025,5115.27,EXPRESS
INV-HVLAQOL,VECTOR FREIGHT,2024-06-23,7502.37,2DAY
INV-Z68IPFP,VECTOR LOGISTICS,09/08/2024,4585.5,GROUND
INV-C0XXGD4,MASSIVE PARTNERS,2025-11-06,12989.3,EXPRESS
INV-0HZWF6L,BLUE ENTERPRISES,2024-05-22,1817.38,GROUND
INV-198NH58,VECTOR LLC,06/02/2025,7591.12,2DAY
INV-ZOL7OEI,APEX GROUP,2024/02/25,3822.98,GROUND
INV-K7ANR1L,STARK PARTNERS,"Jun 14, 2024",4710.0,GROUND
INV-XX06AG9,WONKA LLC,"Mar 25, 2024",3648.44,GROUND
INV-OCWCDC9,UMBRELLA INDUSTRIES,2024/02/09,6860.6,2DAY
INV-S1QOTQG, BLUE SUPPLY ,2025/06/04,17549.62,EXPRESS
INV-YZCG78D,ZENITH SUPPLY,08-Feb-2025,2164.87,GROUND
INV-GMJPPTH,ZENITH SUPPLY,04/11/2024,3845.29,GROUND
INV-V23V6JJ,NIMBUS INDUSTRIES,2024/04/19,7646.37,2DAY
INV-2XDYJTE,VERTEX SUPPLY,17-May-2025,17479.59,EXPRESS
INV-BTYK0VP,TYRELL FREIGHT,2025-04-29,2753.16,GROUND
INV-FUZHESN,NIMBUS HOLDINGS,17-Jan-2025,48070.65,FREIGHT
INV-DAR24T2,NIMBUS HOLDINGS,2025-05-19,3989.16,GROUND
INV-6K24AE6,TYRELL FREIGHT,12-Oct-2025,42237.55,FREIGHT
INV-5Z8B3R0,MASSIVE SUPPLY,"Apr 21, 2025",5119.6,GROUND
INV-SEFL2Q8,ZENITH HOLDINGS,2025/03/01,15393.8,EXPRESS
INV-774OMCI,NIMBUS INDUSTRIES,05/06/2025,3744.58,GROUND
INV-9OUATZU,GREEN CO,06/12/2025,8109.29,2DAY
INV-2RFABUP,BLUE INDUSTRIES,2024/05/02,3764.67,2DAY
INV-F5TJC1D,STARK FREIGHT,22-Aug-2025,4571.52,2DAY
INV-A17HCXK,ZENITH LOGISTICS,04/24/2025,3804.13,GROUND
INV-8KELZ48,QUANTUM FREIGHT,12/12/2025,4342.18,GROUND
INV-7XOJYVT, UMBRELLA PARTNERS ,2024/10/26,11731.27,EXPRESS
INV-C8F31IX,VERTEX SUPPLY,2025-03-25,8644.1,EXPRESS
INV-V2K2HE4,HOOLI CO,"Dec 03, 2024",24804.54,FREIGHT
INV-VDY8JE8,GREEN LLC,2025/01/07,3256.16,GROUND
INV-PPO7B3Z,HOOLI LOGISTICS,2025/01/27,1706.27,GROUND
INV-O0JLUCV,NIMBUS HOLDINGS,2025-02-12,13863.93,EXPRESS
INV-669EEN9,HOOLI SUPPLY,09/20/2024,39645.82,FREIGHT
INV-660Y2XJ,BLUE ENTERPRISES,2025-04-07,1505.78,GROUND
INV-M7YNIY6,BLUE INDUSTRIES,15-Jul-2025,19374.48,EXPRESS
INV-QNQ6AWB, BLUE SUPPLY ,2025-09-26,1769.23,GROUND
INV-L6M8RS5,WONKA SUPPLY,"Feb 18, 2025",1727.33,GROUND
INV-VNLC63N,QUANTUM ENTERPRISES,2024-07-10,13598.87,EXPRESS
INV-OGNVO2M,VECTOR CO,2024/04/15,14752.15,EXPRESS
INV-EECS02T,BLUE CO,13-May-2025,2600.27,GROUND
INV-6ICK6D3,BLUE PARTNERS,"Feb 19, 2024",3692.66,GROUND
INV-G8PRM69,VECTOR CO,2025/05/09,5562.21,2DAY
INV-4DREDXX,TYRELL PARTNERS,"Jul 31, 2024",20956.62,EXPRESS
INV-RHQ16GO,STARK PARTNERS,2025/06/19,1320.7,GROUND
INV-GVI0XHG,WAYNE GROUP,07-Apr-2024,5929.97,2DAY
INV-8YBTB49, UMBRELLA PARTNERS ,2025/05/30,3164.35,GROUND
INV-PBM3Q7C,UMBRELLA INDUSTRIES,2025-01-19,2254.43,GROUND
INV-RS4W4K4, RED LOGISTICS ,05/05/2025,3614.33,GROUND
INV-8XR93F9,VECTOR LLC,2024/04/02,20823.88,EXPRESS
INV-K4MDRJI,ZENITH SUPPLY,"Jul 02, 2024",1354.74,GROUND
INV-QF654XE,HOOLI ENTERPRISES,"Apr 18, 2024",3795.55,GROUND
INV-V1HBBIQ,VECTOR LOGISTICS,2024-04-03,4206.76,GROUND
INV-263WO7H,MASSIVE CO,12-Oct-2025,9901.14,2DAY
INV-ZO380VL,WONKA LLC,"Nov 11, 2024",6879.13,2DAY
INV-GJ7SX8J,MASSIVE GROUP,2025-07-28,2731.41,GROUND
INV-W73OFGO,GREEN FREIGHT,2025-12-19,4427.49,GROUND
INV-IFZKDNI,ACME INDUSTRIES,2024/01/15,23548.02,FREIGHT
INV-1KR5Y7R,VECTOR CO,2024-10-02,3484.41,GROUND
INV-KJMYZQK,ZENITH HOLDINGS,2025-03-19,2115.1,2DAY
INV-08KB57J,MASSIVE SUPPLY,31-Mar-2024,3221.41,GROUND
INV-2DUDZGP,WAYNE HOLDINGS,07-Sep-2024,8293.57,2DAY
INV-HMMVBAX,APEX GROUP,"Jan 22, 2025",13901.14,FREIGHT
INV-9MC1GG5, UMBRELLA PARTNERS ,12-Apr-2024,5214.02,GROUND
INV-Y6FJZL0,VECTOR LLC,12-Dec-2025,2075.4,GROUND
INV-6Z5MJWM,ZENITH SUPPLY,09/16/2025,3025.51,2DAY
INV-7ILCOL9,VECTOR LOGISTICS,14-Oct-2024,2946.04,GROUND
INV-ER33PTB, MASSIVE LLC ,"Mar 03, 2025",2842.71,GROUND
INV-28DB7SC, WAYNE FREIGHT ,"Jul 31, 2025",2552.73,GROUND
INV-4Q7434X,QUANTUM ENTERPRISES,09/11/2025,2725.48,GROUND
INV-A6BEN7Q,ZENITH HOLDINGS,"Dec 12, 2025",1154.48,GROUND
INV-YSURBUO,NIMBUS INDUSTRIES,2025-02-03,4338.62,2DAY
INV-PSAKHOG,ZENITH HOLDINGS,2024/04/16,15803.05,EXPRESS
INV-WE12103,STARK ENTERPRISES,"Jun 09, 2024",4214.71,GROUND
INV-JCXA77D,BLUE PARTNERS,02/01/2024,3286.41,GROUND
INV-H9TQ67V,BLUE INDUSTRIES,2025/07/23,4252.89,GROUND
INV-H3CT3Z2,UMBRELLA ENTERPRISES,16-Jan-2025,2585.77,GROUND
INV-M3YYA59,WAYNE GROUP,2024/07/03,3863.99,2DAY
INV-GXBZJNH, INITECH FREIGHT ,2025-01-10,1800.88,GROUND
INV-CWN9OTA,WAYNE GROUP,07/30/2024,27932.22,FREIGHT
INV-UGLYO3X,INITECH SUPPLY,"Feb 20, 2025",3406.23,GROUND
INV-LU3OFIA,WAYNE GROUP,10/26/2024,15146.05,EXPRESS
INV-0BBNA37,ZENITH LOGISTICS,14-Jul-2025,5266.95,GROUND
INV-IU4ZBWG,GREEN LLC,2025-06-22,4810.71,GROUND
INV-BFRR95K,INITECH SUPPLY,11-Jan-2025,2055.12,GROUND
INV-HKCR37V, RED LOGISTICS ,11/10/2024,17813.9,EXPRESS
INV-B1609XE,TYRELL PARTNERS,27-Jan-2024,18163.05,EXPRESS
INV-KFGRXNL,INITECH SUPPLY,"Oct 28, 2024",2223.57,GROUND
INV-PPH52HM,BLUE INDUSTRIES,2024/08/03,4667.01,GROUND
INV-V6OY6TP,MASSIVE CO,2024-05-08,4909.69,GROUND
INV-WAKLYL3,VECTOR LLC,2024/04/16,2741.58,GROUND
INV-HIKOYL8,VERTEX PARTNERS,2024/11/23,2832.74,GROUND
INV-GLYWQ0F,ZENITH SUPPLY,"Oct 24, 2025",2490.38,GROUND
INV-3P66E42, WAYNE FREIGHT ,2024/07/10,1499.28,GROUND
INV-53SYXCD,MASSIVE SUPPLY,2024-05-16,4428.48,GROUND
INV-J2K27AF,VERTEX SUPPLY,24-Feb-2025,1763.05,GROUND
INV-8X2U3A2, MASSIVE LLC ,"Oct 05, 2024",4088.57,GROUND
INV-RQ4HU5J,STARK FREIGHT,09/19/2025,5149.39,GROUND
INV-DIAKJWN,WAYNE GROUP,2024-08-28,4851.07,GROUND
INV-IMY8HIQ,STARK PARTNERS,02-Dec-2024,3180.16,GROUND
INV-3TJ7VZL,QUANTUM ENTERPRISES,10/28/2024,5234.57,EXPRESS
INV-BAU9NAP,HOOLI LOGISTICS,2025/04/04,9494.51,2DAY
INV-GNC02G6,VECTOR LLC,2025/08/08,4189.92,GROUND
INV-38R2YPZ,MASSIVE CO,05/13/2025,10649.31,EXPRESS
INV-N3ONZJV,MASSIVE CO,"Feb 09, 2024",1439.13,GROUND
INV-OFCC8FU,MASSIVE GROUP,2025/06/27,1222.86,GROUND
INV-NGHSA4Y,STARK PARTNERS,"Nov 03, 2024",4110.57,2DAY
INV-IVKKZYZ,BLUE ENTERPRISES,20-May-2025,1182.35,GROUND
INV-PTIEDRE,HOOLI CO,14-Oct-2025,10004.63,2DAY
INV-R2BGN4Z,NIMBUS GROUP,24-Aug-2025,20026.99,EXPRESS
INV-3QSHNRQ,NIMBUS GROUP,30-Jul-2024,19774.38,EXPRESS
INV-1PI2Z2Q,QUANTUM FREIGHT,28-Jan-2025,1089.11,GROUND
INV-MH0QSFK,NIMBUS GROUP,2024/06/13,7277.05,EXPRESS
INV-S3J3N77,VECTOR FREIGHT,16-Nov-2024,20296.93,EXPRESS
INV-8Q1K03P,STARK ENTERPRISES,07/31/2025,5907.63,2DAY
INV-I67K5JO,NIMBUS INDUSTRIES,05/24/2024,18912.94,EXPRESS
INV-391PSL6,QUANTUM ENTERPRISES,"Feb 12, 2025",3698.14,GROUND
INV-7B6DSAF,VECTOR CO,2025-09-01,1723.45,GROUND
INV-NCYI9M4,VECTOR LOGISTICS,11/28/2024,3337.75,GROUND
INV-R2DX3JC,TYRELL FREIGHT,"Jun 15, 2025",25837.08,FREIGHT
INV-257H45W,BLUE PARTNERS,"Apr 21, 2024",13566.18,EXPRESS
INV-H5PPLBD,UMBRELLA INDUSTRIES,2025/01/15,3185.58,GROUND
INV-KX9APZ1,STARK ENTERPRISES,06/01/2024,12187.34,EXPRESS
INV-42GH32J,HOOLI CO,2024-07-21,4899.02,GROUND
INV-VAPTMJ2,INITECH SUPPLY,2024-10-14,5355.3,GROUND
INV-QSQUAHR,WAYNE HOLDINGS,2025/07/17,7670.83,2DAY
INV-5KWBWYF,APEX FREIGHT,02/16/2025,21404.26,EXPRESS
INV-DYSD0DD,WAYNE GROUP,"Jun 09, 2025",45425.58,FREIGHT
INV-6CJ8XYJ,BLUE INDUSTRIES,2025/04/17,6755.97,2DAY
INV-XWKEK2T,ACME INDUSTRIES,04/06/2025,3576.86,2DAY
INV-60XC01Y,ZENITH LOGISTICS,2024-08-23,5539.34,EXPRESS
INV-S6N1IY5,STARK ENTERPRISES,2024-05-12,15273.13,EXPRESS
INV-4FSM1SO,QUANTUM FREIGHT,"Feb 28, 2025",2467.53,GROUND
INV-5XFMJD1,MASSIVE SUPPLY,2025/02/16,2315.64,2DAY
INV-LUAKM4S,STARK GROUP,2024-03-11,1556.28,GROUND
INV-WIKGOK7,GREEN LOGISTICS,2025-06-07,3044.54,GROUND
INV-3W3RWQB,WONKA SUPPLY,"Mar 27, 2024",3094.76,GROUND
INV-O1XOBPC,WAYNE GROUP,08-May-2025,15373.97,EXPRESS
INV-WX4ZP3Y,VERTEX PARTNERS,2025-12-11,16090.57,EXPRESS
INV-Z3J5JON,GREEN FREIGHT,22-Jun-2025,2000.24,GROUND
INV-LT0UGO1,ZENITH SUPPLY,"Mar 07, 2025",13679.16,EXPRESS
INV-8HK8TUM,HOOLI LOGISTICS,"Jan 16, 2025",3722.57,GROUND
INV-XHK0AEA,QUANTUM ENTERPRISES,2025/08/07,5117.12,GROUND
INV-JEDBNBC,WAYNE GROUP,23-Oct-2024,4783.61,GROUND
INV-UIYW9TG,GREEN LLC,2024-06-28,2464.03,GROUND
INV-Y5L1QIZ,BLUE CO,22-May-2025,4645.16,GROUND
INV-2GSVAMM,GREEN CO,09/04/2025,13610.41,EXPRESS
INV-R1IICQC,HOOLI SUPPLY,03/23/2025,4398.18,GROUND
INV-6LBQDPP,MASSIVE GROUP,2024-09-21,9826.24,2DAY
INV-E3EFYEL,MASSIVE PARTNERS,"Oct 31, 2024",5094.66,GROUND
INV-VWZFJ56,QUANTUM FREIGHT,26-Sep-2025,3017.29,GROUND
INV-Z9OPSPO,MASSIVE PARTNERS,12-Jan-2024,4354.92,GROUND
INV-PNL3Y39,GREEN CO,2024-06-29,15733.65,EXPRESS
INV-SQYMNFD,HOOLI CO,20-Mar-2025,4391.43,2DAY
INV-Y8XTICJ,INITECH SUPPLY,"Nov 17, 2024",14951.81,EXPRESS
INV-T00F7S8,HOOLI LOGISTICS,2024/07/21,5086.35,GROUND
INV-HIQ6BZV, WAYNE FREIGHT ,2024/08/05,10156.66,FREIGHT
INV-GKSLTA6,TYRELL INDUSTRIES,2024/10/20,18934.0,EXPRESS
INV-06JZUK2,STARK GROUP,25-Jun-2025,17066.19,EXPRESS
INV-CL3JZNH,HOOLI ENTERPRISES,2025-11-23,1207.64,GROUND
INV-5EYMN04, INITECH FREIGHT ,"Sep 07, 2024",16530.23,EXPRESS
INV-C571G5P,ZENITH HOLDINGS,06/03/2025,3897.03,GROUND
INV-MDQ42X8,HOOLI SUPPLY,2024-05-23,48766.55,FREIGHT
INV-3R7TBLF,MASSIVE GROUP,2025-02-15,3441.96,GROUND
INV-JV3BPX3,MASSIVE SUPPLY,09/23/2024,16349.5,EXPRESS
INV-R8PUF0T, WAYNE FREIGHT ,08/22/2024,3487.55,GROUND
INV-UX66SQ1,VERTEX PARTNERS,01/16/2025,15733.52,EXPRESS
INV-EH0W3J6,APEX FREIGHT,"Nov 14, 2025",12012.1,EXPRESS
INV-8W1SAJD,MASSIVE PARTNERS,"Jul 17, 2024",20341.24,EXPRESS
INV-HBW1K9N, UMBRELLA PARTNERS ,2025-10-31,5668.91,EXPRESS
INV-OM6AQVC,BLUE CO,2025/10/02,4593.08,GROUND
INV-9WX11W2,QUANTUM FREIGHT,"Feb 18, 2025",2770.52,GROUND
INV-V6VQFWY,MASSIVE GROUP,2025/07/27,20254.0,EXPRESS
INV-BEDHMFB,GREEN LLC,03/01/2024,9293.06,2DAY
INV-199HWK1,ZENITH LOGISTICS,"Aug 12, 2024",5571.0,2DAY
INV-B09TO0P,GREEN CO,04-Mar-2025,14699.97,EXPRESS
INV-6J6XQKP,ZENITH SUPPLY,2024/05/31,4267.92,2DAY
INV-PO0KN8Q,INITECH SUPPLY,17-Apr-2024,17533.61,EXPRESS
INV-TDERJ4E,GREEN LLC,2024/04/24,2619.22,GROUND
INV-YKAOE6P,MASSIVE CO,23-Dec-2024,3184.85,GROUND
INV-IPO6GXI,ZENITH SUPPLY,28-Mar-2024,36594.76,FREIGHT
INV-5SHDGKC,VERTEX SUPPLY,01/16/2025,11170.29,EXPRESS
INV-JDEQ9H0,MASSIVE SUPPLY,22-Apr-2024,4842.48,GROUND
INV-P5MMRPI,UMBRELLA ENTERPRISES,02/16/2024,2670.67,GROUND
INV-OB2ZICU,WONKA SUPPLY,2025-03-12,1355.63,GROUND
INV-GHU6CNX,INITECH SUPPLY,2025/10/15,3879.3,GROUND
INV-0A1TAGX,VERTEX PARTNERS,12/07/2024,18897.95,EXPRESS
INV-AQFWYJP,BLUE INDUSTRIES,09/14/2025,8772.26,EXPRESS
INV-I2KCCWE,VERTEX PARTNERS,"Jul 12, 2025",3593.88,GROUND
INV-BRGOZJO,QUANTUM FREIGHT,2024-01-27,3522.0,GROUND
INV-6K69ZGJ,GREEN LOGISTICS,02/09/2025,16748.7,EXPRESS
INV-K86HYPK,QUANTUM FREIGHT,04/01/2025,4566.58,GROUND
INV-2X2HQEL,ZENITH HOLDINGS,"Feb 13, 2025",9272.51,2DAY
INV-X2XH26B,TYRELL FREIGHT,03-Aug-2025,8455.0,EXPRESS
INV-TF1UJTG,ZENITH LOGISTICS,2025/11/15,5102.56,EXPRESS
INV-XFQSZQL,APEX FREIGHT,09/09/2025,2900.32,GROUND
INV-XONFYQF,GREEN CO,03/12/2025,13044.9,EXPRESS
INV-JEYFYVY, UMBRELLA PARTNERS ,2025/09/16,6455.59,2DAY
INV-0CRQDWM,STARK ENTERPRISES,2025/02/25,20490.95,EXPRESS
INV-YIX8Q5K, RED LOGISTICS ,"May 01, 2024",8410.77,EXPRESS
INV-CASJ300,VECTOR FREIGHT,25-Jul-2024,13869.37,FREIGHT
INV-SR9Q0YE, RED LOGISTICS ,02/16/2025,3358.04,GROUND
INV-V3AAEN5,STARK GROUP,2025-10-11,52914.95,FREIGHT
INV-BLQ2VC5,WAYNE GROUP,04-Dec-2025,19332.86,EXPRESS
INV-TT0ZD24,NIMBUS GROUP,24-Jul-2024,9278.69,EXPRESS
INV-SLNJTOI,WONKA LLC,02/19/2025,8489.8,EXPRESS
INV-ICB61UB,WAYNE HOLDINGS,2025-01-24,20217.31,EXPRESS
INV-JVDG45L,STARK GROUP,20-Jun-2025,17694.04,EXPRESS
INV-3QS01JC,APEX GROUP,2024/02/07,1978.45,GROUND
INV-4ZL1CLH,NIMBUS HOLDINGS,12/18/2025,3658.09,GROUND
INV-RNMEZTG,HOOLI LOGISTICS,"Apr 21, 2025",2079.39,GROUND
INV-KI2WT5C,HOOLI LOGISTICS,2024/01/14,2212.22,GROUND
INV-VD18XC9,WAYNE HOLDINGS,2024/10/06,4863.51,GROUND
INV-7A0PT32,ACME INDUSTRIES,2024-07-12,4231.03,GROUND
INV-LMA1IF0,WAYNE GROUP,10/06/2025,30189.08,FREIGHT
INV-VALDVN0,BLUE INDUSTRIES,2024/05/10,20453.73,EXPRESS
INV-O7PR5MK,WONKA LLC,22-Feb-2025,9875.01,EXPRESS
INV-GPXRXQA,BLUE ENTERPRISES,2025/01/24,9094.6,2DAY
INV-W41D8OY,UMBRELLA ENTERPRISES,07/14/2024,5292.68,EXPRESS
INV-OR93V42,VECTOR LOGISTICS,04/19/2024,2971.03,2DAY
INV-0RP5P8M,APEX FREIGHT,"Feb 09, 2024",1423.69,GROUND
INV-Y2KBBND,HOOLI CO,11/29/2025,15978.28,EXPRESS
INV-6SHAKRX,GREEN CO,"May 01, 2025",12527.92,EXPRESS
